lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014,langabezia_tasa_2016_maiatza,euskara_gaitasuna
EH,,EUSKAL HERRIA,Euskal Herria / País Vasco / Pays Basque,3.124.259,,,,,,,,,,,"19,6",,
01001,Araba,Dulantzi,Alegría-Dulantzi,2.925,,,,,,,,,,,"23,3","10,8","45,74"
01002,Araba,Amurrio,Amurrio,10.239,,,,,,,,,,,"22,1","16,0","42,00"
01003,Araba,Aramaio,Aramaio,1.478,bai,602,28,2,7,1247,602,"51,34",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"13,0","3,6","88,27"
01004,Araba,Artziniega,Artziniega,1.818,,,,,,,,,,,"19,9","12,7","42,16"
01006,Araba,Armiñón,Armiñón,250,,,,,,,,,,,"14,8","8,3","27,55"
01008,Araba,Arratzua-Ubarrundia,Arrazua-Ubarrundia,994,,,,,,,,,,,"12,6","4,4","40,35"
01009,Araba,Asparrena,Asparrena,1.652,,,,,,,,,,,"15,0","12,6","43,50"
01010,Araba,Aiara,Ayala/Aiara,2.929,,,,,,,,,,,"18,0","8,3","46,35"
01011,Araba,Mañueta,Baños de Ebro/Mañueta,325,,,,,,,,,,,"16,7","2,2","28,96"
01013,Araba,Barrundia,Barrundia,915,,,,,,,,,,,"11,4","5,1","45,33"
01014,Araba,Berantevilla,Berantevilla,477,,,,,,,,,,,"17,0","10,7","24,89"
01016,Araba,Bernedo,Bernedo,545,,,,,,,,,,,"11,9","4,7","30,12"
01017,Araba,Kanpezu,Campezo/Kanpezu,1.084,,,,,,,,,,,"18,1","9,2","35,79"
01018,Araba,Zigoitia,Zigoitia,1.743,,,,,,,,,,,"12,4","5,0","45,80"
01019,Araba,Kripan,Kripan,188,,,,,,,,,,,"5,6","2,4","31,51"
01020,Araba,Kuartango,Kuartango,356,,,,,,,,,,,"19,0","5,9","36,80"
01021,Araba,Burgu,Elburgo/Burgelu,624,,,,,,,,,,,"14,7","5,5","39,53"
01022,Araba,Eltziego,Elciego,1.054,,,,,,,,,,,"22,8","9,2","30,44"
01023,Araba,Bilar,Elvillar / Bilar,351,,,,,,,,,,,"16,7","9,5","29,17"
01027,Araba,Iruraitz-Gauna,Iruraiz-Gauna,511,,,,,,,,,,,"17,2","4,7","38,48"
01028,Araba,Bastida,Labastida / Bastida,1.489,,,,,,,,,,,"20,5","9,3","43,42"
01030,Araba,Lagran,Lagrán,161,,,,,,,,,,,"28,6","5,7","21,98"
01031,Araba,Guardia,Laguardia,1.518,,,,,,,,,,,"12,7","8,2","36,65"
01032,Araba,Lantziego,Lanciego/Lantziego,681,,,,,,,,,,,"30,0","8,4","33,80"
01033,Araba,Lapuebla De Labarca,Lapuebla de Labarca,861,,,,,,,,,,,"27,6","12,5","34,30"
01034,Araba,Leza,Leza,207,,,,,,,,,,,"13,6","5,7","35,00"
01036,Araba,Laudio,Laudio / Llodio,18.428,,,,,,,,,,,"24,4","16,8","42,54"
01037,Araba,Arraia-Maeztu,Arraia-Maeztu,714,,,,,,,,,,,"25,9","6,1","34,72"
01039,Araba,Moreda,Moreda de Álava / Moreda Araba,236,,,,,,,,,,,"14,8","8,7","23,56"
01041,Araba,Navaridas,Navaridas,214,,,,,,,,,,,"18,2","4,4","26,42"
01042,Araba,Okondo,Okondo,1.158,,,,,,,,,,,"14,3","9,6","45,58"
01043,Araba,Oion,Oyón-Oion,3.298,,,,,,,,,,,"22,4","21,3","27,47"
01044,Araba,Urizaharra,Peñacerrada-Urizaharra,269,,,,,,,,,,,"9,1","1,8","27,80"
01046,Araba,Erriberagoitia,Erriberagoitia / Ribera Alta,751,,,,,,,,,,,"21,1","6,5","32,27"
01047,Araba,Erriberabeitia,Ribera Baja / Erribera Beitia,1.358,,,,,,,,,,,"25,0","9,8","36,45"
01049,Araba,Añana,Añana,165,,,,,,,,,,,"11,8","5,7","27,54"
01051,Araba,Agurain,Agurain / Salvatierra,4.952,,,,,,,,,,,"24,2","15,2","42,44"
01052,Araba,Samaniego,Samaniego,290,,,,,,,,,,,"28,1","1,3","38,29"
01053,Araba,Donemiliaga,San Millán/Donemiliaga,726,,,,,,,,,,,"15,1","7,3","38,56"
01054,Araba,Urkabustaiz,Urkabustaiz,1.278,,,,,,,,,,,"18,4","8,6","45,09"
01055,Araba,Gaubea,Valdegovía / Gaubea,1.038,,,,,,,,,,,"18,9","6,2","27,20"
01056,Araba,Harana,Harana/Valle de Arana,259,,,,,,,,,,,"25,0","9,7","20,28"
01057,Araba,Villabuena,Villabuena de Álava / Eskuernaga,312,,,,,,,,,,,"10,3","4,6","32,98"
01058,Araba,Legutio,Legutio,1.703,,,,,,,,,2017-05-07,,"16,0","10,4","52,08"
01059,Araba,Gasteiz,Vitoria-Gasteiz,242.082,,,,,,,,,,,"21,5","15,8","35,53"
01060,Araba,Ekora,Yécora / Iekora,258,,,,,,,,,,,"21,9","4,1","23,09"
01061,Araba,Zalduondo,Zalduondo,185,,,,,,,,,,,"14,3","7,5","47,86"
01062,Araba,Zanbrana,Zambrana,417,,,,,,,,,,,"29,5","9,5","23,00"
01063,Araba,Zuia,Zuia,2.427,,,,,,,,,,,"14,8","5,8","45,57"
01901,Araba,Iruña Oka,Iruña Oka/Iruña de Oca,3.108,,,,,,,,,,,"14,8","10,5","39,20"
01902,Araba,Lantarón,Lantarón,931,,,,,,,,,,,"16,2","6,8","23,51"
09109,Araba,Trebiñu,Condado de Treviño,1.398,,,,,,,,,,,"8,2",,
09276,Araba,Argantzun,La Puebla de Arganzón,531,,,,,,,,,,,"18,3",,
20001,Gipuzkoa,Abaltzisketa,Abaltzisketa,329,bai,166,3,1,3,270,173,64.07,2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"6,9","5,8","95,59"
20002,Gipuzkoa,Aduna,Aduna,471,bai,178,2,5,0,365,185,"50,68",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"13,0","6,0","90,71"
20003,Gipuzkoa,Aizarnazabal,Aizarnazabal,775,,,,,,,,,2017-05-07,,"21,7","12,2","88,71"
20004,Gipuzkoa,Albiztur,Albiztur,327,bai,106,4,1,0,251,111,"44,22",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"12,5","3,7","94,78"
20005,Gipuzkoa,Alegia,Alegia,1.744,bai,437,8,6,1,1443,452,"31,32",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"15,7","11,9","83,09"
20006,Gipuzkoa,Alkiza,Alkiza,373,bai,140,2,5,0,272,147,"54,04",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"15,4","6,2","91,57"
20007,Gipuzkoa,Altzo,Altzo,400,bai,178,2,7,0,332,187,"56,33",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"21,4","10,7","90,55"
20008,Gipuzkoa,Amezketa,Amezketa,968,bai,408,17,11,0,773,436,"56,4",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"15,2","7,8","93,56"
20009,Gipuzkoa,Andoain,Andoain,14.655,,,,,,,,,,,"18,7","12,3","63,88"
20010,Gipuzkoa,Anoeta,Anoeta,1.893,bai,561,20,0,13,1712,594,"34,7",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"18,0","12,6","79,46"
20011,Gipuzkoa,Antzuola,Antzuola,2.193,bai,681,19,1,8,1754,709,"40,42",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"14,5","6,5","79,28"
20012,Gipuzkoa,Arama,Arama,217,bai,82,6,0,0,164,88,"53,66",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"15,8","4,6","90,41"
20013,Gipuzkoa,Aretxabaleta,Aretxabaleta,6.995,bai,1618,69,2,11,5781,1700,"29,41",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"15,5","7,7","73,18"
20014,Gipuzkoa,Asteasu,Asteasu,1.523,bai,402,2,4,0,1200,408,34,2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"16,9","7,9","85,63"
20015,Gipuzkoa,Ataun,Ataun,1.700,bai,776,25,6,4,1365,811,"59,41",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"15,5","6,8","90,20"
20016,Gipuzkoa,Aia,Aia,2.039,,,,,,,,,,,"13,3","7,4","91,19"
20017,Gipuzkoa,Azkoitia,Azkoitia,11.480,,,,,,,,,2017-05-07,,"21,8","11,5","80,98"
20018,Gipuzkoa,Azpeitia,Azpeitia,14.580,bai,4524,188,17,52,12142,4781,"39,38",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"15,3","10,6","87,64"
20019,Gipuzkoa,Beasain,Beasain,13.812,bai,2329,80,7,9,11478,2425,"21,13",2016-06-05,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"20,2","9,2","66,20"
20020,Gipuzkoa,Beizama,Beizama,167,,,,,,,,,,,"10,5","11,4","94,49"
20021,Gipuzkoa,Belauntza,Belauntza,260,bai,108,4,1,0,212,113,"53,3",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"30,3","5,3","83,68"
20022,Gipuzkoa,Berastegi,Berastegi,1.056,bai,250,4,5,0,889,259,"29,13",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"13,1","7,7","91,23"
20023,Gipuzkoa,Berrobi,Berrobi,568,bai,203,2,3,0,482,208,"43,15",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"23,8","12,8","83,48"
20024,Gipuzkoa,Bidania-Goiatz,Bidegoian,524,bai,197,7,6,4,413,214,"51,82",2017-03-19,Nahi al duzu euskal estatu burujabe bateko herritarra izan?,"8,5","7,0","90,56"
