lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2014,emaitza,bai,ez,zuria,baliogabea,hautesleak,botoa_emandakoak,partehartzea,data,galdera,langabezia_tasa_2014
EH,,EUSKAL HERRIA,Euskal Herria / País Vasco / Pays Basque,3.124.259,,,,,,,,,,,"19,6"
01001,Araba,Dulantzi,Alegría-Dulantzi,2.925,,,,,,,,,,,"23,3"
01002,Araba,Amurrio,Amurrio,10.239,,,,,,,,,,,"22,1"
01003,Araba,Aramaio,Aramaio,1.478,bai,602,28,2,7,1247,602,"51,34",2016-06-05,Nahi al duzu izan euskal estatu independente bateko herritar?,"13,0"
01004,Araba,Artziniega,Artziniega,1.818,,,,,,,,,,,"19,9"
01006,Araba,Armiñón,Armiñón,250,,,,,,,,,,,"14,8"
01008,Araba,Arratzua-Ubarrundia,Arrazua-Ubarrundia,994,,,,,,,,,,,"12,6"
01009,Araba,Asparrena,Asparrena,1.652,,,,,,,,,,,"15,0"
01010,Araba,Aiara,Ayala/Aiara,2.929,,,,,,,,,,,"18,0"
01011,Araba,Mañueta,Baños de Ebro/Mañueta,325,,,,,,,,,,,"16,7"
01013,Araba,Barrundia,Barrundia,915,,,,,,,,,,,"11,4"
01014,Araba,Berantevilla,Berantevilla,477,,,,,,,,,,,"17,0"
01016,Araba,Bernedo,Bernedo,545,,,,,,,,,,,"11,9"
01017,Araba,Kanpezu,Campezo/Kanpezu,1.084,,,,,,,,,,,"18,1"
01018,Araba,Zigoitia,Zigoitia,1.743,,,,,,,,,,,"12,4"
01019,Araba,Kripan,Kripan,188,,,,,,,,,,,"5,6"
01020,Araba,Kuartango,Kuartango,356,,,,,,,,,,,"19,0"
01021,Araba,Burgu,Elburgo/Burgelu,624,,,,,,,,,,,"14,7"
01022,Araba,Eltziego,Elciego,1.054,,,,,,,,,,,"22,8"
01023,Araba,Bilar,Elvillar / Bilar,351,,,,,,,,,,,"16,7"
01027,Araba,Iruraitz-Gauna,Iruraiz-Gauna,511,,,,,,,,,,,"17,2"
01028,Araba,Bastida,Labastida / Bastida,1.489,,,,,,,,,,,"20,5"
01030,Araba,Lagran,Lagrán,161,,,,,,,,,,,"28,6"
01031,Araba,Guardia,Laguardia,1.518,,,,,,,,,,,"12,7"
01032,Araba,Lantziego,Lanciego/Lantziego,681,,,,,,,,,,,"30,0"
01033,Araba,Lapuebla De Labarca,Lapuebla de Labarca,861,,,,,,,,,,,"27,6"
01034,Araba,Leza,Leza,207,,,,,,,,,,,"13,6"
01036,Araba,Laudio,Laudio / Llodio,18.428,,,,,,,,,,,"24,4"
01037,Araba,Arraia-Maeztu,Arraia-Maeztu,714,,,,,,,,,,,"25,9"
01039,Araba,Moreda,Moreda de Álava / Moreda Araba,236,,,,,,,,,,,"14,8"
01041,Araba,Navaridas,Navaridas,214,,,,,,,,,,,"18,2"
01042,Araba,Okondo,Okondo,1.158,,,,,,,,,,,"14,3"
01043,Araba,Oion,Oyón-Oion,3.298,,,,,,,,,,,"22,4"
01044,Araba,Urizaharra,Peñacerrada-Urizaharra,269,,,,,,,,,,,"9,1"
01046,Araba,Erriberagoitia,Erriberagoitia / Ribera Alta,751,,,,,,,,,,,"21,1"
01047,Araba,Erriberabeitia,Ribera Baja / Erribera Beitia,1.358,,,,,,,,,,,"25,0"
01049,Araba,Añana,Añana,165,,,,,,,,,,,"11,8"
01051,Araba,Agurain,Agurain / Salvatierra,4.952,,,,,,,,,,,"24,2"
01052,Araba,Samaniego,Samaniego,290,,,,,,,,,,,"28,1"
01053,Araba,Donemiliaga,San Millán/Donemiliaga,726,,,,,,,,,,,"15,1"
01054,Araba,Urkabustaiz,Urkabustaiz,1.278,,,,,,,,,,,"18,4"
